po_id,po_number,po_date,total_amount,vendor_ref,delivery_terms,payment_term,shipment_mode,warranty_period,delivery_period,contact_person,mobile,created_at,updated_at,item_code,vendor_name,supplier_gstin,buyer_gstin,delivery_location,supplier_pan
264,TP24-25/PO 1217,2025-01-05,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06497,SPECIAL BLASTS LIMITED,22AADCS2831D1ZY,,"G-5,GROUND FLOOR,WALLFORT OZONE,FAFDIH CHOWK,RAIPUR-492001RAIPURChhattisgarhIndia",AADCS2831D  
265,TP24-25POAR 829,2025-01-10,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00032,ASIAD BEARING & ENGG.CO,09BKTPS1673M1Z4,,Auri more. AnparaAURI MOREUttar PradeshIndia,BKTPS1673M  
266,AN24-25POAR 698,2025-02-14,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04219,MAA SABITRI ENTERPRISER,21AFUPA8345P1ZY,,NEAR WOMENS COLLEGEANGULOdishaIndia,AFUPA8345P  
267,TP24-25POAR 809,2025-01-08,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S03110,NEW DIAMOND ELECTRICALS WORKS,23AGRPM0784A1ZJ,,"Main Road, SingrauliMadhya PradeshIndia",AGRPM0784A  
268,TP24-25POAR 994,2025-02-22,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04792,TRICHUR SUNDARAM SANTHANAM & FAMILY PRIVATE LIMITED - TELANGANA,36AAGCT5084N1ZP,,"10-4-92/3, LB Nagar,HyderabadTelanganaIndia",AAGCT5084N  
269,TP24-25/PO 1484,2025-03-01,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06458,JAINX LAPTOP & COMPUTER WORLD (RAIGARH),22AATFJ8181A1ZC,,"GOURI SHANKAR MANDIR AGROHABHAVAN ROAD, RAIGARHRAIGARHChhattisgarhIndia",AATFJ8181A  
270,PC24-25POAR 600,2025-03-27,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04986,INDOFLEX - WEST BENGAL,19AABFI5305F1ZO,,"A-26,POLYTECHNIC ROADWest BengalIndia",AABFI5305F  
271,TP24-25/PO 1670,2025-03-27,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06497,SPECIAL BLASTS LIMITED,22AADCS2831D1ZY,,"G-5,GROUND FLOOR,WALLFORT OZONE,FAFDIH CHOWK,RAIPUR-492001RAIPURChhattisgarhIndia",AADCS2831D  
272,TP24-25POAR 842,2025-01-11,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06685,NEXGEN SPARES,27AAWFN5535D1ZX,,20-24 GROUND FLOORMUMBAIMaharashtraIndia,AAWFN5535D  
273,AN24-25POAR 744,2025-03-10,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04071,N K B INDUSTRIAL PRODUCTS PRIVATE LIMITED,21AABCN2757K1ZJ,,"GROUND FLOOR,S-2/A-42,43,44OdishaIndia",AABCN2757K  
274,CM24-25POAR 1040,2025-03-06,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06417,INNOVATIVE INFRA & MINING SOLUTIONS LIMITED-JHARKHAND,20AAHCI1010J1ZA,,"PLOT NO.605, KHATA NO.51, K G ASHRAM POST OFFICE, MOUZA-JIYALGORA, P.S. GOVINDPURJharkhandIndia",AAHCI1010J  
275,CM24-25POAR 871,2025-01-17,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04444,ARSHYAN BATTERY,20BOHPA1007F1Z1,,MAIN ROADJharkhandIndia,BOHPA1007F  
276,CM24-25POAR 912,2025-01-24,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S03870,GARUDA POWER PRIVATE LTD-JHARKHAND,20AADCG3908M1ZR,,"PLOT NO.43, WARD NO. 194JharkhandIndia",AADCG3908M  
277,TP24-25POAR 964,2025-02-13,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04996,GALAXY AUTO SERVICE CENTER,22AEGPA8535E1ZZ,,NH-78 TALKIES ROADChhattisgarhIndia,AEGPA8535E  
278,TP24-25/PO 1423,2025-02-13,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06775,SOLAR INDUSTRIES INDIA LIMITED - ODISHA,21AACCS2132E1Z5,,"PLOT NO.389-392,MAUZA BEHRAPALI MAUZA BEHERALIJHARAUGUDAOdishaIndia",AACCS2132E  
279,CM24-25POAR 947,2025-02-01,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06495,INFRA EQUIP PRIVATE LIMITED - HAZARIBAG,20AABCI3185J1ZS,,"NH33, DEMOTAND KHATA # 95 PLOT # 1063JharkhandIndia",AABCI3185J  
280,CM24-25POAR 985,2025-02-14,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00765,CJN HITECH MOTORS PRIVATE LIMITED.,37AAGCC9788E1Z4,,SURVEY NO.714/2THIRUPATIAndhra PradeshIndia,AAGCC9788E  
281,PC24-25/PO 351,2025-02-19,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06747,MATA ELECTRICALS,20BKIPB1879F1ZJ,,"BAXIBANDH ROAD,JharkhandIndia",BKIPB1879F  
282,TP24-25POAR 802,2025-01-06,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06528,DEVGHAR AGENCIES,22ADYPA3467C1ZQ,,"5,SHRI HRI COMPLEXChhattisgarhIndia",ADYPA3467C  
283,TP24-25/PO 1294,2025-01-17,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06497,SPECIAL BLASTS LIMITED,22AADCS2831D1ZY,,"G-5,GROUND FLOOR,WALLFORT OZONE,FAFDIH CHOWK,RAIPUR-492001RAIPURChhattisgarhIndia",AADCS2831D  
